ENROLLMENT_ID,EMPLOYEE_ID,PLAN_NAME,PLAN_TYPE,COVERAGE_LEVEL,COVERAGE_AMOUNT,EFFECTIVE_DATE,_FIVETRAN_SYNCED
BEN-0001,EMP-0001,PPO Gold,Medical,Family,1200.00,2026-01-01,2026-08-01 03:00:00
BEN-0002,EMP-0002,PPO Gold,Medical,Employee Only,450.00,2026-01-01,2026-08-01 03:00:00
BEN-0003,EMP-0003,HMO Silver,Medical,Employee + Spouse,780.00,2026-01-01,2026-08-01 03:00:00
BEN-0004,EMP-0003,Delta Dental,Dental,Employee + Spouse,45.00,2026-01-01,2026-08-01 03:00:00
BEN-0005,EMP-0004,PPO Gold,Medical,Employee Only,450.00,2026-01-01,2026-08-01 03:00:00
BEN-0006,EMP-0004,401k Standard,401k,Employee Only,0.00,2026-01-01,2026-08-01 03:00:00
BEN-0007,EMP-0005,HMO Silver,Medical,Family,1350.00,2026-01-01,2026-08-01 03:00:00
BEN-0008,EMP-0005,401k Standard,401k,Employee Only,0.00,2026-01-01,2026-08-01 03:00:00
BEN-0009,EMP-0008,PPO Gold,Medical,Employee Only,450.00,2026-01-01,2026-08-01 03:00:00
BEN-0010,EMP-0011,HMO Silver,Medical,Employee Only,420.00,2026-01-01,2026-08-01 03:00:00
BEN-0011,EMP-0011,VSP Vision,Vision,Employee Only,12.00,2026-01-01,2026-08-01 03:00:00
