PAY_RESULT_ID,EMPLOYEE_ID,PAY_PERIOD_END_DATE,PAY_GROUP_ID,CODE,CODE_TYPE,AMOUNT,_FIVETRAN_SYNCED
PR-00001,EMP-0003,2026-07-31,PG-BIWEEKLY,BASE,Earning,4423.08,2026-08-01 03:00:00
PR-00002,EMP-0003,2026-07-31,PG-BIWEEKLY,OT,Earning,187.50,2026-08-01 03:00:00
PR-00003,EMP-0003,2026-07-31,PG-BIWEEKLY,FEDTAX,Deduction,-982.14,2026-08-01 03:00:00
PR-00004,EMP-0003,2026-07-31,PG-BIWEEKLY,401K,Deduction,-265.38,2026-08-01 03:00:00
PR-00005,EMP-0004,2026-07-31,PG-BIWEEKLY,BASE,Earning,3346.15,2026-08-01 03:00:00
PR-00006,EMP-0004,2026-07-31,PG-BIWEEKLY,OT,Earning,241.83,2026-08-01 03:00:00
PR-00007,EMP-0004,2026-07-31,PG-BIWEEKLY,FEDTAX,Deduction,-703.20,2026-08-01 03:00:00
PR-00008,EMP-0005,2026-07-31,PG-BIWEEKLY,BASE,Earning,4615.38,2026-08-01 03:00:00
PR-00009,EMP-0005,2026-07-31,PG-BIWEEKLY,FEDTAX,Deduction,-1015.00,2026-08-01 03:00:00
PR-00010,EMP-0005,2026-07-31,PG-BIWEEKLY,401K,Deduction,-276.92,2026-08-01 03:00:00
PR-00011,EMP-0008,2026-07-31,PG-BIWEEKLY,BASE,Earning,3076.92,2026-08-01 03:00:00
PR-00012,EMP-0008,2026-07-31,PG-BIWEEKLY,OT,Earning,266.35,2026-08-01 03:00:00
PR-00013,EMP-0008,2026-07-31,PG-BIWEEKLY,FEDTAX,Deduction,-635.50,2026-08-01 03:00:00
PR-00014,EMP-0011,2026-07-31,PG-BIWEEKLY,BASE,Earning,2461.54,2026-08-01 03:00:00
PR-00015,EMP-0011,2026-07-31,PG-BIWEEKLY,FEDTAX,Deduction,-489.32,2026-08-01 03:00:00
PR-00016,EMP-0011,2026-07-31,PG-BIWEEKLY,DENTAL,Deduction,-24.00,2026-08-01 03:00:00
