TIME_ENTRY_ID,EMPLOYEE_ID,ENTRY_DATE,HOURS_WORKED,OVERTIME_HOURS,TIME_TYPE,_FIVETRAN_SYNCED
TE-00001,EMP-0003,2026-07-27,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00002,EMP-0003,2026-07-28,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00003,EMP-0003,2026-07-29,8.0,1.5,Regular,2026-08-01 03:00:00
TE-00004,EMP-0003,2026-07-30,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00005,EMP-0003,2026-07-31,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00006,EMP-0004,2026-07-27,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00007,EMP-0004,2026-07-28,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00008,EMP-0004,2026-07-29,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00009,EMP-0004,2026-07-30,8.0,2.0,Regular,2026-08-01 03:00:00
TE-00010,EMP-0004,2026-07-31,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00011,EMP-0005,2026-07-27,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00012,EMP-0005,2026-07-28,0.0,0.0,Sick,2026-08-01 03:00:00
TE-00013,EMP-0005,2026-07-29,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00014,EMP-0005,2026-07-30,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00015,EMP-0005,2026-07-31,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00016,EMP-0008,2026-07-27,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00017,EMP-0008,2026-07-28,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00018,EMP-0008,2026-07-29,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00019,EMP-0008,2026-07-30,8.0,0.0,Regular,2026-08-01 03:00:00
TE-00020,EMP-0008,2026-07-31,8.0,3.0,Regular,2026-08-01 03:00:00
TE-00021,EMP-0011,2026-07-27,6.4,0.0,Regular,2026-08-01 03:00:00
TE-00022,EMP-0011,2026-07-28,6.4,0.0,Regular,2026-08-01 03:00:00
TE-00023,EMP-0011,2026-07-29,6.4,0.0,Regular,2026-08-01 03:00:00
TE-00024,EMP-0011,2026-07-30,6.4,0.0,Regular,2026-08-01 03:00:00
TE-00025,EMP-0011,2026-07-31,6.4,0.0,Regular,2026-08-01 03:00:00
